Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
AAPL,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
,,218.9149932861328,247.4600067138672,741.1699829101562,1202.130126953125,,221.02999877929688,250.1199951171875,751.9298706054688,1214.0,,218.02000427246094,246.75999450683594,739.760009765625,1200.0,,219.0,247.25,748.0,1202.0,,9133063,2689712,1570861,285145
,,219.44000244140625,247.63999938964844,742.1749877929688,1208.14501953125,,219.5800018310547,248.4499969482422,743.97998046875,1209.0,,218.5050048828125,246.99000549316406,739.1099853515625,1201.8299560546875,,218.89999389648438,247.4499969482422,741.1300048828125,1202.5,,3183259,993238,742166,178509
,,219.97500610351562,247.84010314941406,741.625,1210.885009765625,,220.25999450683594,248.08999633789062,742.2899780273438,1213.0,,219.06700134277344,246.66000366210938,737.3532104492188,1205.0,,219.4499969482422,247.625,742.0700073242188,1208.5400390625,,2297114,762977,654563,94368
,,220.39999389648438,248.5749969482422,745.0999755859375,1212.6986083984375,,220.47999572753906,248.6300048828125,745.7595825195312,1212.6986083984375,,219.6999969482422,247.58999633789062,740.0,1207.9801025390625,,219.97999572753906,247.8699951171875,741.75,1210.43994140625,,1938063,745209,476621,98487
,,220.19000244140625,247.5399932861328,743.47998046875,1209.4600830078125,,220.5,248.66000366210938,745.280029296875,1212.4000244140625,,219.9499969482422,247.02499389648438,742.2899780273438,1207.3900146484375,,220.39999389648438,248.55999755859375,745.0999755859375,1212.2750244140625,,2146123,872830,369231,83178
,,220.27000427246094,247.6199951171875,741.780029296875,1211.1400146484375,,220.6199951171875,247.88999938964844,744.8300170898438,1212.68994140625,,220.02999877929688,247.19000244140625,741.0,1210.1500244140625,,220.1999969482422,247.57000732421875,743.5599975585938,1210.3800048828125,,2102774,586146,422768,126583
,,219.8000030517578,247.19000244140625,743.97998046875,1210.1700439453125,,220.25999450683594,247.6300048828125,744.1599731445312,1211.7900390625,,219.55999755859375,246.63999938964844,739.7000122070312,1208.840087890625,,220.25999450683594,247.6199951171875,741.780029296875,1210.9000244140625,,2586975,946945,752133,185431
,,221.4300994873047,249.8350067138672,747.1566162109375,1221.5799560546875,,222.08999633789062,251.64830017089844,750.3599853515625,1223.18994140625,,219.71009826660156,247.74000549316406,745.4199829101562,1187.5400390625,,220.0,248.0,748.0,1203.5,,6887387,2981083,1489717,670965
,,220.67630004882812,248.3000030517578,746.375,1212.25,,221.53880310058594,249.9499969482422,748.969970703125,1224.43994140625,,220.5500030517578,247.89999389648438,745.6099853515625,1212.010009765625,,221.4499969482422,249.86000061035156,747.207275390625,1221.0899658203125,,2847139,1218148,612344,166462
,,221.36129760742188,248.57000732421875,747.2899780273438,1208.2099609375,,221.6002960205078,248.8699951171875,749.603271484375,1214.5999755859375,,220.58009338378906,248.1820068359375,744.6400146484375,1207.47998046875,,220.7100067138672,248.30999755859375,746.3200073242188,1212.0,,1914981,866075,514270,149648
,,221.77000427246094,245.906005859375,744.14501953125,1205.81005859375,,221.8300018310547,248.72000122070312,748.2232055664062,1209.510009765625,,220.61000061035156,245.16000366210938,743.8800048828125,1202.905029296875,,221.35000610351562,248.56500244140625,747.239990234375,1208.0400390625,,2992178,1947695,417676,122398
