Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
255.02000427246094,218.9149932861328,247.4600067138672,741.1699829101562,1202.130126953125,256.6000061035156,221.02999877929688,250.1199951171875,751.9298706054688,1214.0,253.77999877929688,218.02000427246094,246.75999450683594,739.760009765625,1200.0,254.0,219.0,247.25,748.0,1202.0,8034498,9133063,2689712,1570861,285145
255.9700927734375,219.44000244140625,247.63999938964844,742.1749877929688,1208.14501953125,255.99000549316406,219.5800018310547,248.4499969482422,743.97998046875,1209.0,254.57119750976562,218.5050048828125,246.99000549316406,739.1099853515625,1201.8299560546875,255.02000427246094,218.89999389648438,247.4499969482422,741.1300048828125,1202.5,3714841,3183259,993238,742166,178509
255.6649932861328,219.97500610351562,247.84010314941406,741.625,1210.885009765625,256.0400085449219,220.25999450683594,248.08999633789062,742.2899780273438,1213.0,254.86000061035156,219.06700134277344,246.66000366210938,737.3532104492188,1205.0,255.97000122070312,219.4499969482422,247.625,742.0700073242188,1208.5400390625,2276774,2297114,762977,654563,94368
256.5199890136719,220.39999389648438,248.5749969482422,745.0999755859375,1212.6986083984375,256.9750061035156,220.47999572753906,248.6300048828125,745.7595825195312,1212.6986083984375,255.47999572753906,219.6999969482422,247.58999633789062,740.0,1207.9801025390625,255.66000366210938,219.97999572753906,247.8699951171875,741.75,1210.43994140625,2086042,1938063,745209,476621,98487
256.55499267578125,220.19000244140625,247.5399932861328,743.47998046875,1209.4600830078125,257.3599853515625,220.5,248.66000366210938,745.280029296875,1212.4000244140625,255.86000061035156,219.9499969482422,247.02499389648438,742.2899780273438,1207.3900146484375,256.5199890136719,220.39999389648438,248.55999755859375,745.0999755859375,1212.2750244140625,2653513,2146123,872830,369231,83178
255.64500427246094,220.27000427246094,247.6199951171875,741.780029296875,1211.1400146484375,256.7298889160156,220.6199951171875,247.88999938964844,744.8300170898438,1212.68994140625,255.49000549316406,220.02999877929688,247.19000244140625,741.0,1210.1500244140625,256.56500244140625,220.1999969482422,247.57000732421875,743.5599975585938,1210.3800048828125,2089315,2102774,586146,422768,126583
255.4600067138672,219.8000030517578,247.19000244140625,743.97998046875,1210.1700439453125,255.64979553222656,220.25999450683594,247.6300048828125,744.1599731445312,1211.7900390625,254.89999389648438,219.55999755859375,246.63999938964844,739.7000122070312,1208.840087890625,255.63999938964844,220.25999450683594,247.6199951171875,741.780029296875,1210.9000244140625,3021515,2586975,946945,752133,185431
254.2198944091797,221.4300994873047,249.8350067138672,747.1566162109375,1221.5799560546875,254.5,222.08999633789062,251.64830017089844,750.3599853515625,1223.18994140625,253.00999450683594,219.71009826660156,247.74000549316406,745.4199829101562,1187.5400390625,254.0,220.0,248.0,748.0,1203.5,6306062,6887387,2981083,1489717,670965
253.47000122070312,220.67630004882812,248.3000030517578,746.375,1212.25,254.24000549316406,221.53880310058594,249.9499969482422,748.969970703125,1224.43994140625,253.30999755859375,220.5500030517578,247.89999389648438,745.6099853515625,1212.010009765625,254.2050018310547,221.4499969482422,249.86000061035156,747.207275390625,1221.0899658203125,2834864,2847139,1218148,612344,166462
