Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31 13:30:00,270.3800048828125,246.5500030517578,278.8999938964844,657.9949951171875,1124.949951171875,277.32000732421875,250.5,286.2850036621094,674.8900146484375,1128.8699951171875,269.1600036621094,245.39999389648438,277.52301025390625,654.27001953125,1101.97998046875,276.989990234375,250.1999969482422,283.2049865722656,674.6699829101562,1105.3900146484375,17228178,48342440,6316597,9547884,1463535
2025-10-31 14:30:00,271.29998779296875,247.7899932861328,281.2699890136719,656.47998046875,1129.58544921875,271.5599060058594,247.97999572753906,282.80999755859375,660.39990234375,1134.8800048828125,270.10009765625,245.1199951171875,278.70001220703125,653.155029296875,1124.9114990234375,270.42999267578125,246.57000732421875,278.8500061035156,658.1099853515625,1124.9114990234375,4595066,13559788,2732662,4172293,695053
2025-10-31 15:30:00,272.43499755859375,245.8000030517578,279.4100036621094,652.0,1124.25,272.8584899902344,249.0,282.07000732421875,658.0850219726562,1132.344970703125,270.2200012207031,244.67010498046875,278.80999755859375,650.0,1123.10009765625,271.2998962402344,247.8000030517578,281.30999755859375,656.489990234375,1129.9000244140625,4301242,11066498,1997842,4158689,468438
2025-10-31 16:30:00,270.3487854003906,246.02499389648438,280.3399963378906,652.989990234375,1124.2149658203125,273.1700134277344,246.6486053466797,281.3299865722656,655.0,1127.75,270.1499938964844,244.82009887695312,279.30999755859375,650.72998046875,1121.5201416015625,272.42999267578125,245.80999755859375,279.42999267578125,651.9299926757812,1124.3699951171875,4005527,6007713,1704291,3065742,301644
2025-10-31 17:30:00,271.80999755859375,247.60000610351562,280.79998779296875,648.2730102539062,1119.260009765625,272.0599060058594,247.7899932861328,282.1099853515625,654.97998046875,1125.1300048828125,270.1099853515625,245.72999572753906,280.1700134277344,647.0999755859375,1118.31005859375,270.3299865722656,246.0399932861328,280.30999755859375,652.989990234375,1124.6300048828125,2396660,5345680,1602420,3990376,260275
2025-10-31 18:30:00,272.1050109863281,246.85220336914062,281.45001220703125,652.2899780273438,1124.030029296875,272.17498779296875,247.94000244140625,281.5899963378906,652.4000244140625,1124.7099609375,271.2699890136719,246.02000427246094,279.2900085449219,645.573486328125,1117.300048828125,271.7900085449219,247.60000610351562,280.7699890136719,648.14501953125,1118.9300537109375,2901733,5847955,1587149,4285502,344821
2025-10-31 19:30:00,270.25,244.22000122070312,281.9200134277344,648.3400268554688,1118.8599853515625,272.6499938964844,247.5,282.57000732421875,652.3480224609375,1124.2242431640625,269.9599914550781,243.97999572753906,281.29998779296875,647.590087890625,1117.3800048828125,272.1300048828125,246.8300018310547,281.4700012207031,652.2899780273438,1124.1180419921875,6601078,23315598,2255868,3208958,545969
2025-11-03 14:30:00,267.6300048828125,255.33999633789062,283.1099853515625,648.506591796875,1099.6817626953125,270.7799987792969,258.6000061035156,283.3500061035156,659.3298950195312,1133.5,266.25,254.5574951171875,280.375,647.2100219726562,1098.949951171875,270.4200134277344,255.63999938964844,282.4700012207031,656.0,1133.0999755859375,10223517,26213930,4971493,6069693,989317
