Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
2025-11-21 14:30:00,,,216.26499938964844,296.760009765625,585.1199951171875,105.88999938964844,,217.91000366210938,301.9200134277344,596.0,106.52999877929688,,215.27000427246094,295.56280517578125,584.9299926757812,104.4000015258789,,216.3800048828125,297.2900085449219,588.5,105.0,,11194304,9999227,3693066,5084200
2025-11-21 15:30:00,,,218.5749969482422,300.3299865722656,587.74267578125,105.23999786376953,,218.61000061035156,301.8299865722656,587.9099731445312,106.0,,215.25,294.3599853515625,581.8599853515625,104.81999969482422,,216.27000427246094,296.739990234375,585.1199951171875,105.88999938964844,,6341071,4010585,2007970,2461936
2025-11-21 16:30:00,,,219.63999938964844,296.489990234375,592.97998046875,105.22000122070312,,220.72300720214844,300.375,593.9093017578125,105.54000091552734,,216.91000366210938,295.6600036621094,586.4130859375,104.95999908447266,,218.5749969482422,300.3399963378906,587.7999877929688,105.23999786376953,,6048938,2730646,1489299,2552825
2025-11-21 17:30:00,,,218.7220001220703,297.2900085449219,591.625,104.94499969482422,,220.0850067138672,298.17999267578125,595.0,105.69000244140625,,218.00999450683594,295.8299865722656,589.0700073242188,104.80000305175781,,219.75,296.5849914550781,593.0001220703125,105.20999908447266,,3049149,1393147,1093645,1815537
2025-11-21 18:30:00,,,222.0500030517578,302.66009521484375,597.548583984375,105.28600311279297,,222.10000610351562,303.9599914550781,598.1199951171875,105.6500015258789,,218.58999633789062,297.06500244140625,591.1799926757812,104.81999969482422,,218.7100067138672,297.260009765625,591.530029296875,104.93000030517578,,3506398,3613249,1107144,2501464
2025-11-21 19:30:00,,,220.18499755859375,299.94500732421875,594.0700073242188,104.92500305175781,,222.20199584960938,302.9200134277344,597.739990234375,105.45999908447266,,220.17999267578125,299.94500732421875,594.010009765625,104.79000091552734,,222.07000732421875,302.6499938964844,597.5349731445312,105.27999877929688,,3265276,2460119,1133638,2592012
2025-11-21 20:30:00,,,220.64500427246094,299.6600036621094,594.469970703125,104.3499984741211,,221.32000732421875,301.44000244140625,596.0900268554688,105.04000091552734,,219.88999938964844,298.80999755859375,593.260009765625,103.80999755859375,,220.13999938964844,299.92999267578125,594.0499877929688,104.91999816894531,,4137911,3148283,1341529,4721730
2025-11-24 14:30:00,,,225.8699951171875,316.8794860839844,611.3499755859375,104.33499908447266,,226.7899932861328,318.54998779296875,611.8798828125,105.12999725341797,,222.2899932861328,309.40008544921875,597.630126953125,103.31999969482422,,222.5800018310547,310.7850036621094,598.719970703125,104.25,,8170085,10624903,4179737,5611699
2025-11-24 15:30:00,,,224.94900512695312,314.4800109863281,611.6528930664062,104.38500213623047,,226.4149932861328,317.75,614.8200073242188,104.47000122070312,,224.8699951171875,314.1499938964844,610.5,103.80000305175781,,225.8489990234375,316.8699951171875,611.2999877929688,104.33999633789062,,3321400,4421439,1855792,2464690
2025-11-24 16:30:00,,,224.6199951171875,315.1199951171875,614.239990234375,104.35990142822266,,225.1199951171875,315.17498779296875,615.4000244140625,104.51000213623047,,224.05499267578125,311.8900146484375,610.1099853515625,103.8499984741211,,224.92999267578125,314.5,611.5999755859375,104.38500213623047,,2779034,2993905,1420646,2043279
2025-11-24 17:30:00,,,224.97000122070312,317.3699951171875,613.9400024414062,104.41000366210938,,225.58999633789062,318.1499938964844,615.9199829101562,104.48999786376953,,224.58999633789062,314.8800048828125,613.4000244140625,103.95010375976562,,224.61000061035156,315.1000061035156,614.260009765625,104.33999633789062,,2147819,2592523,1400027,2042267
